Time,Sentiment
1318.824,0.096969698
1322.8884,0.11666667
1323.1476,0.12826087
1323.4068,0.242553192
1323.7524,0.106896552
1344.1392,-0.013333337
1351.4832,0.097916669
1351.7424,0.139534886
1356.498,0.075675675
1361.0772,-0.113888891
1361.1636,-0.112765956
1370.9232,0.039130436
1372.392,0.053333334
1375.3296,-0.007692308
1380.168,0.104081633
1380.2544,0.035897435
1382.4144,0.051515153
1383.0192,-0.031034481
1383.4512,0.150000002
1384.146,0.234285713
1389.9348,-0.003636364
1391.1444,0.164999999
1392.6996,-0.050793651
1393.218,0.014545453
1394.082,0.192105264
1396.152,0.071153847
1396.2384,-0.005882352
1399.3488,0.207894737
1400.5584,0.096875003
1400.8176,0.310714288
1411.272,0.088235296
1411.4448,-0.091666668
1415.9412,-0.03125
1419.9156,-0.048598131
1421.8164,0.057894739
1421.9028,-0.051999999
1424.322,0.208888889
1425.8736,-0.040000003
1427.7744,0.140000002
1428.4656,0.076363639
1429.6752,-0.132558141
1432.0944,-0.10625
1432.6992,-0.036363636
1434.3408,-0.01904762
1434.6,-0.009230769
1434.9456,0.123841061
1437.0192,-0.294117653
1438.488,-0.047727272
1440.9936,0.10909091
1441.944,0.01875
1442.0304,0.017391304
1443.1536,-0.022916669
1445.9184,-0.017948719
1446.0912,0.188636365
1446.6996,-0.01904762
1448.6868,-0.015476189
1448.946,0.011764707
1449.2916,0.100000002
1449.81,0.007692308
1454.994,0.096153847
1456.3764,0.083505157
1456.722,0.12991453
1458.1872,0.035616439
1461.9024,-0.042000001
1465.272,0.10909091
1471.4064,-0.043750001
1472.0112,-0.084210525
1474.9488,-0.077272728
1475.5536,-0.115384615
1476.1584,0.005263157
1478.1456,0.121276595
1478.8404,-0.055172414
1479.2724,0.104081633
1479.3588,-0.044117647
1479.7908,-0.090909092
1480.914,0.071428574
1481.0868,0.009375003
1481.4324,-0.088000001
1481.6916,-0.143750005
1481.778,-0.035714287
1485.234,-0.157142857
1487.2212,0.107692309
1490.5872,0.057142857
1490.6736,0
1490.76,-0.133333333
1492.6608,0.05064935
1493.4384,0.035294118
1494.5616,-0.036842105
1495.5984,0.013157894
1496.2032,0.063333334
1496.7216,-0.171875001
1497.4128,0.015999999
1502.1648,-0.210344827
1503.288,-0.027777779
1503.8928,0.033333335
1505.1888,0.015151516
1505.3616,-0.117857144
1505.448,-0.027692306
1506.744,-0.102631581
1507.6944,-0.065517243
1508.7312,-0.023809526
1509.6816,0.045
1513.1412,0.143478263
1513.2276,-0.219999998
1515.5604,-0.008333332
1518.066,0.023529413
1525.752,0.018421055
1534.4784,0.084615385
1539.3168,-0.04827586
1539.576,-0.009259259
1539.6624,0.190476191
1539.8352,-0.063414633
1540.1808,-0.038636365
1540.2672,0.041176467
1540.3536,-0.419047622
1540.44,0.10909091
